Water_Body,pH,Turbidity_NTU,Temperature_C,Dissolved_Oxygen_mgL,Conductivity_uS,Bacteria_CFU_100mL,Potability,Organic_Carbon_mgL,Ammonia_mgL,Nitrates_mgL,Nitrites_mgL,Sulfate_mgL,Solids_ppm
Reservoir,7.75,26.91,20.1,5.89,753.2,2231.0,1,19.24,3.4,46.6,2.95,281.96,13621.22
Ocean,6.68,25.58,23.3,6.15,74.4,3918.0,1,16.07,0.6,32.15,1.77,199.93,26293.94
Reservoir,6.31,20.93,24.3,11.94,395.5,2919.0,1,15.95,1.68,44.78,2.75,361.94,19572.15
Pond,7.08,44.86,18.4,4.53,700.7,2616.0,0,13.17,1.52,35.04,0.54,443.43,6759.81
River,7.24,12.33,34.7,3.37,714.1,3330.0,0,8.43,3.18,29.81,1.74,198.11,5949.73
Reservoir,8.28,48.65,27.8,4.29,1383.2,2295.0,0,18.91,3.08,2.53,0.5,19.73,15443.98
Lake,6.44,38.93,28.8,7.12,86.0,4965.0,0,14.7,3.43,32.33,2.01,188.72,47919.23
Pond,8.45,27.9,13.1,11.87,1025.1,2824.0,0,18.02,4.87,46.09,1.31,285.74,7970.34
Lake,7.33,12.56,30.7,11.44,967.2,1488.0,1,10.79,0.27,24.31,1.8,213.12,43511.46
Ocean,8.4,11.19,18.5,8.28,1473.3,3663.0,0,2.13,0.61,11.91,0.03,48.54,14951.61
Ocean,7.48,36.1,30.5,8.64,620.3,2211.0,0,16.22,0.77,23.42,2.16,146.75,19916.54
River,6.15,3.93,12.7,11.43,187.5,103.0,1,13.53,0.23,28.96,0.12,207.41,21979.92
Pond,7.82,22.12,29.9,3.41,490.0,2840.0,1,10.85,4.09,43.84,0.91,180.57,23184.13
River,7.28,13.34,5.1,7.24,583.0,805.0,0,6.35,0.81,40.44,1.89,443.89,3290.88
Lake,7.38,4.73,17.6,9.81,712.9,4942.0,0,2.43,2.51,23.71,1.48,231.65,34472.64
River,8.35,48.39,19.2,6.51,613.7,4959.0,1,5.36,2.28,7.1,2.58,377.81,23167.45
Lake,6.67,16.98,6.8,3.75,1029.5,3030.0,0,18.91,4.85,46.92,2.58,121.66,13308.02
River,6.08,13.86,22.6,10.04,406.2,3036.0,1,3.25,2.44,6.36,1.55,390.78,3688.88
Ocean,6.86,3.6,16.0,3.79,1166.2,3466.0,0,11.48,1.63,6.12,2.44,226.22,40026.36
Pond,6.47,43.73,10.4,10.89,660.3,3999.0,1,16.71,0.4,13.2,2.86,360.42,20552.83
River,7.03,3.32,5.0,9.8,943.3,3634.0,0,12.41,0.24,23.57,1.39,398.56,12770.55
Lake,6.62,1.63,33.9,8.24,585.6,3916.0,1,9.89,1.72,38.29,0.47,186.02,9480.43
Pond,6.29,15.15,21.7,9.57,1356.7,2741.0,0,5.12,0.9,32.23,1.57,423.51,33660.97
Ocean,8.48,21.73,29.9,7.56,1173.5,1599.0,1,2.76,2.32,16.11,1.98,188.43,37882.01
Ocean,6.63,30.2,16.2,7.75,850.1,725.0,1,19.48,4.7,4.95,2.33,199.73,45602.66
Reservoir,7.09,28.71,25.5,9.23,1159.9,2704.0,0,12.72,4.81,29.19,1.75,400.2,4615.39
Pond,6.01,17.33,12.9,3.31,845.5,4921.0,1,6.3,1.66,15.36,2.06,271.99,30233.37
River,8.32,34.07,31.6,7.89,444.3,2546.0,1,10.82,3.68,34.75,2.52,117.82,6031.58
Ocean,7.39,21.35,19.4,4.42,505.7,559.0,0,19.64,0.07,7.32,1.46,139.45,18736.3
River,8.59,29.59,19.5,4.6,1497.6,1345.0,0,2.01,1.22,46.78,1.5,121.28,18083.36
River,6.16,43.14,28.8,11.06,902.1,288.0,1,13.46,3.65,44.29,0.14,305.24,46326.85
Lake,6.49,46.48,27.8,7.43,525.2,492.0,1,13.9,2.57,27.23,0.51,334.0,883.12
River,6.77,42.16,17.7,9.24,86.7,16.0,1,8.02,0.37,33.73,2.31,174.47,17743.57
Reservoir,8.66,32.4,19.6,3.59,1437.3,1936.0,0,6.42,4.73,43.15,1.2,304.97,27304.81
Pond,7.06,0.82,33.1,9.51,616.0,1826.0,1,5.14,0.84,20.18,1.45,397.46,36878.82
Pond,6.56,14.92,11.5,8.36,318.1,3787.0,0,8.1,2.67,35.28,1.42,129.2,12877.64
Lake,8.4,6.95,22.8,6.58,413.1,2038.0,0,0.34,2.73,37.69,1.43,477.75,48638.48
Reservoir,6.91,36.5,31.7,3.93,866.4,3839.0,1,2.19,2.05,16.02,2.26,72.6,19200.18
Reservoir,7.05,9.88,29.5,5.11,1100.7,2969.0,1,7.24,0.72,21.56,1.79,190.18,49648.32
Pond,7.96,13.82,26.8,5.35,925.6,3828.0,1,11.84,0.21,3.19,2.72,92.52,31548.2
Reservoir,7.15,18.81,28.5,3.95,1489.0,3049.0,0,13.32,4.99,46.72,2.87,54.24,33644.82
Ocean,6.05,19.44,22.9,7.74,745.9,4249.0,0,13.25,2.98,21.71,0.78,89.52,12633.75
River,8.97,9.41,10.7,6.71,880.9,1281.0,1,0.26,0.65,1.67,0.47,42.52,11105.37
River,6.72,35.43,6.6,11.77,1151.4,3534.0,1,3.13,4.4,0.59,0.73,134.22,5762.12
Pond,6.73,18.16,29.2,9.33,971.8,1622.0,0,17.53,4.82,1.59,1.51,68.34,30434.41
Pond,6.4,28.65,23.1,5.34,1182.7,4506.0,1,19.18,3.08,8.07,2.16,323.49,37972.59
Reservoir,6.47,7.06,32.4,4.52,626.6,1457.0,1,11.21,4.59,20.68,2.88,178.87,25030.69
Lake,7.51,0.96,8.6,9.37,193.4,2076.0,0,14.92,3.6,18.65,1.37,87.07,19881.76
Pond,8.82,30.5,8.5,5.35,279.6,4451.0,0,6.16,2.98,4.33,2.36,496.65,10513.56
Pond,8.09,37.02,9.2,7.93,416.4,1307.0,1,15.55,4.54,9.18,2.2,71.88,7936.57
Pond,7.97,32.58,30.7,10.85,1150.3,4897.0,1,11.08,0.89,8.41,1.03,426.42,16457.68
Reservoir,7.08,1.33,10.9,8.35,708.5,2839.0,1,1.09,2.04,14.13,2.22,479.5,47632.33
Ocean,8.44,17.3,20.7,9.51,1286.7,4875.0,0,4.15,3.25,23.32,1.41,179.75,34058.81
Pond,7.42,45.57,30.8,4.83,848.9,4841.0,1,11.71,1.56,8.66,1.14,49.31,1288.17
Ocean,7.37,34.74,22.0,9.24,631.6,3277.0,1,14.04,1.32,19.6,0.79,39.86,27664.97
Reservoir,8.98,39.29,26.6,4.17,214.2,3518.0,0,8.36,2.33,10.82,1.93,189.8,9747.24
Lake,7.83,1.41,6.9,8.57,1307.5,4207.0,0,16.0,4.08,28.72,1.56,161.04,41654.47
River,8.6,21.54,23.6,6.27,1237.2,2802.0,0,0.61,0.63,1.47,0.19,380.22,41396.46
River,7.57,46.41,20.8,5.53,824.5,1421.0,0,18.89,4.1,7.72,2.91,56.73,44410.69
River,6.49,9.66,30.4,6.07,709.4,4328.0,1,8.97,2.6,34.35,0.37,231.46,46897.15
River,8.96,41.77,18.6,5.17,417.7,171.0,1,10.98,2.99,21.72,2.65,370.96,14289.56
Reservoir,7.97,2.28,33.2,6.37,347.1,2935.0,0,6.35,2.99,20.11,1.08,460.44,25732.18
River,6.45,13.13,17.9,4.19,732.8,2595.0,1,9.81,3.97,3.4,1.76,68.98,15581.68
Reservoir,8.22,11.49,8.6,7.91,1093.2,4949.0,1,12.52,2.56,32.77,0.56,156.31,48575.76
Lake,7.32,1.23,30.9,4.06,1074.4,4042.0,1,13.37,4.74,25.54,1.32,343.66,46923.51
Pond,8.47,34.7,17.9,6.84,312.7,3840.0,1,8.97,1.16,4.42,1.5,321.91,8949.33
Pond,6.83,41.2,13.2,8.08,346.5,1790.0,1,17.49,2.7,18.01,1.19,116.23,34525.15
Pond,8.83,16.61,14.1,11.89,1092.6,4793.0,0,11.62,2.24,24.41,0.9,214.79,4866.59
Reservoir,6.89,30.23,34.3,3.5,1041.9,3658.0,0,17.7,0.75,33.84,0.01,160.0,8443.6
Reservoir,8.99,11.02,18.1,7.72,896.5,18.0,0,12.16,0.87,17.12,0.9,398.99,12717.33
Reservoir,8.1,9.18,16.5,11.45,1134.7,4156.0,0,1.35,3.99,17.47,2.05,323.59,37733.92
Lake,8.91,20.71,28.0,4.09,633.1,3573.0,1,6.84,0.12,18.04,0.2,483.65,19696.36
Ocean,8.17,8.75,19.8,5.42,445.8,1732.0,0,12.31,1.8,38.72,1.13,6.26,36556.47
Reservoir,8.26,39.98,26.8,9.26,483.3,360.0,0,17.38,0.47,45.41,2.97,62.63,23353.73
Reservoir,6.36,12.81,23.9,9.62,147.2,280.0,0,9.06,2.2,29.83,2.02,127.04,31437.52
Pond,6.05,3.06,33.4,6.48,332.3,3082.0,1,5.28,3.81,17.69,0.86,66.9,18713.17
River,6.26,43.46,30.7,5.46,418.9,661.0,0,9.47,0.5,2.93,0.62,258.28,3892.92
River,7.31,45.5,7.4,3.94,487.5,67.0,1,1.14,1.42,47.95,0.48,400.05,5527.34
Lake,7.21,31.67,33.7,5.94,1440.6,2214.0,0,10.14,4.01,38.6,1.33,336.89,48152.82
River,6.55,6.51,23.5,5.79,1462.8,4428.0,0,4.22,3.98,7.15,0.85,356.83,18429.0
Ocean,6.13,35.9,14.7,11.93,183.6,3645.0,1,2.42,4.34,26.79,0.44,156.11,15894.92
Pond,8.08,8.5,31.1,11.45,289.7,2330.0,1,11.25,4.28,43.27,1.63,490.39,41994.12
Lake,6.59,12.32,27.9,6.55,92.1,1747.0,0,6.45,1.49,31.49,1.93,354.26,11964.35
River,8.94,12.67,10.1,4.31,1315.3,3189.0,1,12.71,3.29,26.27,0.94,26.71,39618.18
River,6.31,38.78,9.1,5.84,180.9,4604.0,0,8.5,1.12,36.39,2.74,497.15,24187.88
Pond,7.09,3.7,30.5,9.21,549.0,3907.0,0,11.79,0.38,2.4,0.36,54.93,11774.81
Lake,7.44,32.69,26.2,3.11,558.7,833.0,0,18.48,5.0,8.07,2.64,362.94,47748.85
Pond,6.66,9.93,14.0,11.91,547.0,3662.0,1,12.87,1.37,5.79,1.34,281.58,18913.37
Lake,7.51,28.33,15.7,9.13,996.8,4328.0,1,9.93,4.25,33.23,0.77,246.8,27175.26
River,6.37,15.25,22.6,7.28,672.9,4003.0,1,11.23,0.21,44.1,1.14,41.27,9734.66
Pond,6.0,10.55,21.8,3.67,834.3,737.0,1,12.11,0.87,49.37,0.57,244.27,8153.13
Pond,8.09,35.67,24.6,7.01,371.8,1176.0,1,14.24,1.78,42.78,2.48,10.12,34011.94
Ocean,8.5,42.08,24.5,3.73,191.8,4300.0,1,9.91,0.35,31.02,1.32,52.87,40000.76
Pond,7.72,44.93,11.2,10.64,1004.7,1984.0,0,14.04,0.92,9.42,0.77,288.07,1535.76
Lake,6.69,20.09,24.6,6.0,782.4,4388.0,0,14.72,4.91,1.88,2.91,272.77,5296.43
Ocean,7.18,19.23,11.4,8.98,928.0,334.0,0,7.0,4.38,49.47,2.74,314.08,7231.87
Pond,7.88,37.3,7.0,5.41,583.3,383.0,1,9.31,4.21,4.1,0.27,142.37,3592.54
Pond,6.1,46.12,24.8,3.86,1393.7,4826.0,0,18.18,0.61,23.46,1.21,180.13,1733.0
Ocean,6.28,41.06,34.1,4.89,820.7,683.0,0,9.91,3.86,31.87,1.27,430.61,24495.07
River,8.87,23.03,8.4,6.48,1352.1,2019.0,1,10.78,1.29,9.36,0.02,479.37,43856.47
Pond,8.04,27.25,31.0,8.48,156.1,2770.0,1,16.82,3.18,29.0,1.49,207.25,36747.57
Reservoir,8.09,6.69,14.1,4.94,1092.0,4115.0,1,5.88,1.15,30.92,2.48,398.56,23807.39
River,6.31,16.28,29.3,3.82,1095.5,2418.0,1,12.17,0.15,44.9,1.5,194.21,2979.25
Pond,6.7,6.23,22.0,9.76,1145.2,2783.0,0,4.05,1.64,19.59,0.23,264.88,2485.83
River,7.17,16.14,30.6,10.55,443.0,1564.0,1,12.81,4.38,8.95,2.67,267.08,20492.8
Lake,6.62,24.15,9.1,9.34,1009.5,948.0,0,1.08,1.15,35.38,0.1,172.7,15694.08
River,8.43,26.24,14.5,9.96,1056.1,2798.0,1,6.02,0.94,8.76,2.17,332.75,10672.12
Ocean,7.82,20.65,21.7,9.69,555.5,3276.0,1,2.24,4.65,18.48,0.29,181.79,44330.73
Pond,6.59,1.27,19.1,8.71,1072.2,4127.0,0,1.01,4.23,47.16,1.91,215.36,33818.51
River,8.31,26.92,16.9,11.67,785.9,3340.0,1,18.51,3.52,0.65,2.59,466.62,45607.43
Reservoir,7.62,18.55,12.5,11.98,230.4,2279.0,0,0.64,2.86,42.44,1.4,29.17,24446.37
Lake,6.62,23.7,15.7,3.68,880.1,1597.0,1,14.47,3.46,23.29,1.98,144.79,25370.25
Lake,8.53,4.45,26.2,9.6,573.2,438.0,1,3.62,4.2,37.07,2.93,194.99,11247.5
River,6.63,28.08,25.7,8.85,211.6,3255.0,0,12.74,2.35,47.93,1.68,147.63,26843.38
Ocean,8.07,41.01,16.7,11.09,1015.6,3160.0,1,7.61,3.62,24.94,2.26,313.93,15910.7
Lake,7.2,5.8,22.1,9.76,598.5,3481.0,0,14.77,2.37,45.91,2.22,454.67,25622.55
River,8.25,14.34,9.9,5.2,1368.0,3724.0,1,16.62,3.14,7.13,2.77,99.24,19215.62
River,7.27,16.45,27.7,4.07,963.4,3539.0,0,7.14,4.64,44.37,1.8,226.3,34616.59
Lake,6.86,2.34,24.8,5.88,1414.9,740.0,0,11.92,2.3,40.26,1.55,130.59,41516.94
River,8.88,22.46,28.6,10.24,168.6,4068.0,0,6.67,3.36,2.28,2.45,384.57,22490.75
River,8.28,6.89,25.6,7.61,919.4,1381.0,0,16.71,3.68,17.81,1.2,437.89,14027.12
Reservoir,8.48,8.24,13.4,9.23,874.8,697.0,1,9.38,0.38,31.75,2.53,107.99,23908.81
River,6.94,30.28,12.1,7.39,1451.7,4474.0,0,16.84,1.04,5.74,0.56,346.76,4197.85
River,7.04,20.88,11.2,10.79,977.7,4844.0,1,0.29,2.9,1.92,1.21,116.08,12305.12
Ocean,6.52,39.71,30.4,6.89,317.1,4063.0,0,1.13,2.85,35.15,2.39,83.66,23184.32
Lake,7.34,0.62,11.2,5.0,1225.2,3086.0,1,0.82,0.47,11.04,1.15,143.8,40496.35
Ocean,8.99,44.01,8.5,11.42,888.3,3398.0,1,14.41,2.78,45.4,2.07,185.11,3400.19
Pond,7.77,28.44,7.5,6.49,1077.4,726.0,0,0.38,0.05,24.28,2.08,477.74,37690.65
Ocean,8.17,34.26,31.6,6.57,1450.7,482.0,1,9.33,2.89,6.45,1.54,161.96,6667.2
Pond,8.21,17.49,27.6,8.21,139.9,1400.0,1,7.86,1.99,42.57,1.65,499.97,30063.59
Pond,6.61,2.77,15.8,3.51,1139.3,874.0,0,1.15,2.64,0.21,0.17,54.81,260.35
Ocean,6.17,13.74,23.2,4.35,212.0,831.0,1,16.87,2.55,22.21,1.96,172.24,6939.69
Reservoir,6.36,15.62,34.1,11.71,1100.9,1237.0,1,2.21,3.39,49.37,2.11,286.41,26739.85
Ocean,8.16,19.81,14.7,9.67,287.3,3379.0,1,12.37,1.3,9.86,1.06,230.58,48395.96
Lake,7.37,36.14,33.7,5.07,1005.1,2871.0,0,15.78,3.69,25.73,1.4,477.02,25278.71
Ocean,8.71,38.87,13.3,5.77,1378.1,1589.0,1,17.36,2.9,48.89,1.75,245.91,17627.32
Reservoir,7.1,45.5,15.9,3.25,437.5,3026.0,1,14.76,4.04,35.17,2.12,344.32,5562.94
Ocean,6.31,4.75,24.3,5.37,884.7,275.0,0,4.84,2.11,49.71,0.45,144.03,11775.54
Reservoir,8.91,30.17,21.5,9.98,360.3,4266.0,0,1.3,1.48,41.95,0.99,144.89,36926.82
Lake,7.2,6.53,17.1,9.52,130.1,189.0,0,2.53,4.58,49.07,2.22,201.52,11192.47
River,8.54,40.46,27.1,4.92,399.6,2091.0,0,13.44,1.0,32.77,1.03,104.96,49095.89
Reservoir,6.14,17.72,22.3,9.07,1351.5,1737.0,1,6.45,1.13,23.48,1.0,480.49,4071.35
Reservoir,7.08,6.4,16.5,3.03,435.1,2201.0,0,18.83,0.32,7.15,0.52,483.68,36989.59
Reservoir,7.78,20.86,26.5,11.76,53.4,2646.0,0,4.79,3.65,46.33,1.42,301.97,32336.18
Lake,7.57,29.27,22.0,4.83,452.5,44.0,1,14.06,4.08,14.89,1.58,242.34,37384.32
Pond,8.18,43.33,28.9,4.86,409.8,118.0,0,17.54,4.61,33.69,2.84,18.59,15566.0
Reservoir,8.65,34.18,14.7,9.95,990.8,4399.0,0,15.96,1.01,4.6,0.36,222.12,2761.58
Lake,8.28,35.31,14.7,6.78,434.9,4743.0,0,17.82,1.83,16.07,1.19,311.76,19710.98
River,6.93,32.37,18.9,8.9,917.0,118.0,1,4.68,0.6,4.79,1.15,100.5,12661.82
Reservoir,8.91,15.37,32.1,6.29,1315.9,4412.0,1,2.27,0.62,18.47,1.38,371.08,38445.47
Pond,8.76,1.13,22.5,5.05,1347.1,1352.0,0,18.32,4.47,8.09,1.43,116.44,12523.05
Lake,7.89,30.78,27.3,8.35,732.7,2889.0,0,15.23,4.15,30.01,0.59,160.86,857.68
River,7.53,21.09,21.5,9.27,161.2,2705.0,0,5.35,0.21,49.07,2.06,400.61,39306.02
Pond,7.55,10.97,11.1,8.21,1118.1,2035.0,0,19.37,2.71,29.0,1.36,102.18,35765.76
River,8.21,48.14,23.9,3.54,993.2,464.0,0,12.15,0.11,13.16,0.82,412.11,40288.94
Pond,7.45,19.88,30.6,10.46,1425.1,4115.0,1,19.54,4.03,47.48,0.34,425.94,26393.18
Ocean,8.96,13.11,24.3,6.21,373.7,1665.0,0,4.06,1.04,9.2,0.23,289.52,40988.42
Ocean,8.13,0.88,10.8,8.36,960.8,639.0,1,14.68,4.71,33.45,2.05,469.7,21261.84
Ocean,6.71,38.81,24.5,4.11,340.3,3310.0,1,10.25,3.99,14.5,1.29,6.96,39334.49
River,7.98,9.32,13.8,5.72,1499.8,4404.0,1,7.31,0.33,49.23,0.33,410.38,1575.16
Ocean,7.45,20.47,22.1,6.81,227.4,3527.0,1,12.6,1.73,42.98,1.18,152.25,45951.62
Lake,6.48,30.24,21.0,5.68,973.5,2084.0,1,2.72,1.97,30.03,2.53,390.36,8243.0
Lake,7.56,3.88,15.9,4.54,94.4,3049.0,1,2.22,1.74,1.56,1.46,140.69,22467.37
Ocean,8.58,22.3,20.6,6.4,963.5,4601.0,0,9.24,1.38,37.48,2.08,228.67,4217.64
Pond,6.07,2.72,5.6,10.44,929.9,812.0,1,13.59,0.72,1.98,2.84,146.64,4002.66
Pond,8.55,20.83,33.6,4.42,287.4,1990.0,0,0.55,4.77,17.47,0.28,134.3,38168.82
River,8.06,7.63,28.9,6.71,1018.5,1245.0,0,10.65,2.29,11.98,0.84,48.8,5482.22
Pond,8.18,1.57,8.4,7.12,1050.6,3497.0,0,15.57,4.64,6.99,0.28,376.19,20597.55
Reservoir,8.68,10.48,13.8,9.33,574.3,917.0,0,16.53,3.22,49.42,1.24,453.35,24524.41
Pond,8.83,32.3,25.3,11.82,882.2,3644.0,0,16.66,4.97,37.14,2.14,474.29,18565.43
Lake,6.89,40.76,23.0,3.48,235.4,1220.0,0,3.32,0.81,4.8,2.68,351.77,10443.7
Pond,8.76,29.21,14.3,6.29,355.3,4197.0,0,18.68,0.95,3.86,1.42,17.68,46764.31
River,6.65,4.67,9.6,4.65,488.7,4380.0,0,5.37,4.8,19.14,2.75,54.03,1647.28
Pond,6.43,1.77,32.5,3.68,175.7,3239.0,0,1.61,3.7,29.84,1.97,485.67,41810.42
River,7.66,48.44,8.4,11.99,1025.8,4850.0,1,8.72,2.35,31.2,1.63,364.67,42637.93
Reservoir,8.78,45.74,11.4,11.99,796.3,1781.0,1,5.4,1.56,31.18,2.63,249.72,21458.1
Ocean,6.16,39.74,23.1,7.12,1415.4,4911.0,0,11.9,1.51,12.47,0.59,160.66,4750.55
Reservoir,7.58,26.74,18.3,5.5,774.5,871.0,1,2.0,0.34,38.7,0.01,14.88,12435.49
Lake,8.04,17.49,14.6,7.84,989.5,484.0,1,4.85,0.9,3.36,0.19,315.19,18779.78
Reservoir,8.24,42.13,31.5,11.98,1386.1,1918.0,1,19.94,3.96,26.08,2.57,18.06,30437.91
Reservoir,7.51,38.64,13.7,6.51,490.4,1926.0,1,2.28,1.9,31.11,2.56,42.38,17353.6
Lake,7.72,21.02,27.4,9.2,1161.9,1360.0,1,6.55,2.52,49.74,2.14,327.58,32333.45
Lake,7.36,20.59,8.9,9.19,90.9,817.0,0,12.36,0.24,29.37,0.32,24.49,32844.17
Ocean,8.17,23.67,19.1,10.45,750.8,3649.0,0,19.09,2.05,6.84,0.14,385.37,29951.1
Ocean,7.14,5.73,19.0,5.49,471.9,2232.0,0,2.47,4.69,38.41,1.8,461.16,46807.28
Pond,6.84,36.19,21.7,7.05,80.2,3733.0,0,9.63,2.64,18.24,0.96,236.33,9989.59
River,6.79,12.58,28.4,5.76,140.6,2133.0,1,14.75,2.77,8.46,2.47,423.01,9554.41
Lake,7.96,49.28,5.3,8.14,1114.1,2157.0,1,14.27,3.74,45.15,1.35,437.41,13733.42
Reservoir,8.77,17.49,31.8,7.83,884.2,735.0,1,12.8,4.87,7.2,2.58,315.28,12051.92
Reservoir,6.82,16.46,31.7,7.97,480.4,712.0,0,19.61,3.04,2.42,0.77,389.59,38879.02
Ocean,6.75,34.47,11.1,4.07,557.1,515.0,1,9.18,3.5,19.93,0.44,471.57,20521.69
River,8.15,37.34,12.1,6.26,1039.7,4736.0,1,18.58,3.0,15.71,0.89,199.67,24122.05
Lake,6.03,32.07,30.7,7.13,1156.0,4774.0,1,1.85,0.96,27.77,2.33,66.23,26590.98
Ocean,8.5,25.55,26.5,9.6,133.9,309.0,1,0.27,1.92,35.38,2.04,366.14,25998.35
River,7.14,16.76,22.6,4.83,1333.6,3794.0,1,9.76,3.0,18.51,0.74,261.74,9319.83
Lake,8.71,10.89,26.5,11.7,929.0,883.0,1,13.63,0.27,42.32,1.7,217.34,23840.84
Reservoir,8.13,30.25,17.9,3.39,1202.0,760.0,1,19.25,1.59,15.89,0.86,37.51,6477.92
Reservoir,8.38,11.38,7.9,3.75,678.3,3895.0,0,17.02,4.49,14.1,1.07,476.37,24598.96
Ocean,6.51,19.71,21.3,8.29,732.9,3440.0,1,17.67,3.32,9.05,1.99,221.09,47422.6
River,7.09,28.47,11.9,4.17,882.9,4288.0,1,15.73,4.81,4.27,1.87,64.18,27737.43
Reservoir,6.84,29.77,23.8,4.33,93.2,4535.0,1,2.04,3.32,43.01,0.66,139.87,34027.85
River,8.15,46.6,10.7,8.91,1431.5,1599.0,1,3.61,1.15,18.28,1.21,320.15,26759.53
Ocean,6.07,8.36,10.6,11.9,1416.3,4600.0,0,9.66,2.01,0.95,1.04,370.94,22512.7
Pond,7.86,24.05,7.8,6.96,1052.9,585.0,1,11.39,4.34,39.12,1.98,468.02,24352.53
River,8.6,43.26,17.5,7.48,815.7,225.0,0,5.29,3.9,27.72,1.2,172.96,39260.97
River,6.13,14.36,31.6,8.31,269.6,1673.0,1,4.76,1.45,2.72,2.12,356.54,33623.21
Ocean,6.87,26.38,31.1,3.41,734.9,787.0,0,19.98,1.7,8.17,1.64,320.85,34167.68
Pond,6.62,30.69,9.8,7.5,1433.8,1135.0,0,0.9,4.5,28.72,1.15,105.03,21056.71
Reservoir,8.99,34.32,28.0,11.91,522.0,4153.0,1,1.91,3.94,11.89,0.24,299.49,2918.39
Lake,8.96,32.07,31.7,4.8,436.8,1736.0,0,14.22,1.21,33.42,1.3,298.65,10120.13
Ocean,6.37,26.27,7.9,5.95,316.0,662.0,0,15.23,0.35,43.26,1.68,213.76,1466.82
Lake,6.58,11.83,21.4,11.55,203.4,2586.0,0,10.66,3.11,27.87,0.73,437.94,18416.77
Pond,6.07,39.59,22.5,10.37,365.7,3297.0,1,10.79,4.41,17.16,0.52,482.93,25080.22
Pond,7.7,46.52,13.2,7.3,417.7,1803.0,0,18.93,3.81,37.65,1.96,366.74,30396.53
River,8.06,34.0,14.4,8.31,335.6,1252.0,0,12.1,3.23,36.18,2.07,304.9,1194.53
Lake,7.96,17.08,15.6,3.11,925.4,3584.0,0,12.68,1.94,11.05,2.03,25.89,47246.13
Lake,6.78,49.84,14.4,3.01,1258.1,2553.0,0,9.99,2.18,21.53,0.78,240.95,5253.94
Pond,6.61,11.74,18.2,9.92,907.1,273.0,0,11.77,1.32,0.25,0.18,332.52,14956.13
Lake,6.17,49.98,27.7,4.82,1360.2,4123.0,0,16.3,0.13,34.25,2.89,112.24,48880.52
Reservoir,7.9,25.77,25.6,3.49,434.5,4578.0,0,15.93,2.42,7.69,1.08,70.1,36340.95
Pond,6.74,26.98,8.0,3.43,1315.6,1796.0,0,15.47,4.91,40.04,2.14,292.27,30356.24
River,6.27,29.35,5.3,7.41,214.0,2001.0,0,17.39,3.17,49.48,1.48,414.46,14597.33
River,7.06,7.11,23.2,7.16,749.5,533.0,1,0.13,0.5,6.49,1.97,411.16,26231.84
River,6.45,35.05,27.5,11.49,1004.6,2817.0,0,12.03,0.96,2.2,2.14,342.59,24840.3
Lake,7.52,23.55,31.2,6.03,1258.6,707.0,1,19.75,2.86,6.66,3.0,178.06,48514.31
Pond,6.45,15.85,22.4,10.14,1331.5,1617.0,1,7.97,1.54,48.23,1.32,159.39,19856.57
River,8.97,37.45,31.1,5.21,52.1,2976.0,1,7.85,3.17,38.91,1.32,141.96,40574.65
Pond,7.01,36.09,22.2,9.16,462.6,4350.0,0,0.17,1.15,16.48,1.05,464.49,29729.06
Lake,7.42,2.59,18.6,7.02,1122.5,2823.0,0,18.78,2.25,7.41,2.39,48.73,23661.36
Reservoir,7.79,14.0,29.4,6.84,517.1,2906.0,0,0.99,4.13,11.81,1.26,449.84,2009.98
Reservoir,8.55,12.27,8.3,9.48,1269.4,485.0,0,10.74,1.16,25.93,0.42,419.25,37071.07
Reservoir,8.84,17.4,7.7,9.43,557.7,728.0,1,12.24,3.73,12.92,0.74,14.35,34936.55
Lake,7.1,21.38,28.9,5.84,519.4,1388.0,1,11.26,0.7,13.6,1.08,483.88,19003.74
River,7.27,42.3,10.7,6.19,387.3,1883.0,1,5.9,1.9,47.15,2.54,406.59,1236.33
Lake,6.45,35.34,34.7,3.38,1353.0,1148.0,0,7.56,1.61,22.29,0.41,176.4,19757.91
Pond,6.57,43.99,23.0,8.84,67.7,4636.0,1,0.98,4.36,49.49,0.55,488.27,44097.55
Reservoir,8.17,34.24,22.9,5.63,1472.1,2346.0,0,18.42,3.51,26.77,2.84,288.96,19799.53
Pond,7.31,6.43,8.8,6.78,438.5,1020.0,0,5.74,3.07,34.23,1.89,286.02,7221.99
Lake,8.53,22.63,29.4,6.67,1028.1,834.0,1,6.64,1.92,21.27,1.66,478.74,38921.24
Ocean,7.59,32.51,30.7,8.41,1373.0,62.0,1,17.82,1.3,3.58,0.91,195.93,16365.46
Ocean,6.85,23.9,23.9,11.39,1020.4,1216.0,1,17.26,3.6,45.43,2.38,416.71,30283.7
Lake,8.04,6.44,24.1,7.23,858.8,2973.0,1,2.72,3.85,6.12,0.09,177.66,13910.97
River,7.42,3.19,19.6,9.32,841.8,4563.0,1,9.73,3.99,19.53,1.45,123.97,13885.37
Pond,8.67,17.96,23.8,5.0,924.4,1613.0,0,15.48,1.82,25.89,1.13,71.51,27244.72
Lake,7.12,41.28,31.8,8.99,547.9,4539.0,1,4.78,4.62,36.9,1.24,239.22,1057.16
Lake,6.76,38.74,33.9,3.35,1155.6,4112.0,0,19.09,2.04,38.19,2.49,35.11,19098.58
